memory_score,subj_idx,word,emotional,trialnr_enc,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,trialnr_recog,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
NaN,45,109,1,NaN,NaN,NaN,NaN,NaN,96,0,0,5589.74962008233,NaN,NaN,-0.807324951842861,0.262497950527106
NaN,45,110,1,NaN,NaN,NaN,NaN,NaN,137,0,0,1064.58974886482,NaN,NaN,0.765311612930105,-2.09032098405959
NaN,45,111,1,NaN,NaN,NaN,NaN,NaN,155,0,0,1699.74371211174,NaN,NaN,0.471230877440939,-0.0197020473398142
NaN,45,112,1,NaN,NaN,NaN,NaN,NaN,205,0,0,1790.60361367101,NaN,NaN,-0.626736625700121,0.196283996874175
NaN,45,113,1,NaN,NaN,NaN,NaN,NaN,185,0,1,3029.78083417929,1,360.020661854833,-0.449677205151817,0.299894171400686
NaN,45,114,1,NaN,NaN,NaN,NaN,NaN,196,0,0,1687.974278193,NaN,NaN,-1.52849212786953,0.190734380851774
NaN,45,115,1,NaN,NaN,NaN,NaN,NaN,218,0,1,3808.4205384348,3,1484.05147567246,-0.603444527320509,-0.133852830591753
NaN,45,116,1,NaN,NaN,NaN,NaN,NaN,118,0,1,1700.96475680293,2,593.469845291111,1.79556462234777,-1.05044090247736
NaN,45,117,1,NaN,NaN,NaN,NaN,NaN,125,0,0,1178.18571425232,NaN,NaN,0.0483553521343682,-0.22382739462084
NaN,45,118,1,NaN,NaN,NaN,NaN,NaN,18,0,1,1603.40049559727,3,573.457477682496,0.512224528532426,-0.348969357210837
NaN,45,119,1,NaN,NaN,NaN,NaN,NaN,10,0,0,1102.02645949175,NaN,NaN,1.09334145065264,-0.123371896694473
NaN,45,120,1,NaN,NaN,NaN,NaN,NaN,108,0,0,1629.72143373918,NaN,NaN,1.20298416803835,-2.46533240223066
NaN,45,121,0,NaN,NaN,NaN,NaN,NaN,209,0,0,1161.5228002056,NaN,NaN,0.378219256064924,-1.36083515733293
NaN,45,122,0,NaN,NaN,NaN,NaN,NaN,126,0,0,2541.79948052933,NaN,NaN,-0.438192662761874,0.319479838322016
1,45,123,0,65,0.183784806723273,-0.983310594737158,0,0,181,1,1,1464.12602771579,1,162.470256475899,0.742387741638839,-0.416452957441867
4,45,124,0,86,-0.18507765601115,-1.98313207286939,1,1,119,1,1,920.624506460626,4,299.730177022866,0.570939957031675,0.130351010122319
NaN,45,125,0,NaN,NaN,NaN,NaN,NaN,115,0,0,1424.78478244902,NaN,NaN,-0.69555763675581,0.257414163319562
NaN,45,126,0,106,0.0563086889184224,0.556232674084119,0,0,190,1,0,994.783005567115,NaN,NaN,-1.13444131695276,-0.617006697089746
NaN,45,127,0,6,1.77810241448827,-0.0433686342068322,0,0,198,1,0,1889.0213552877,NaN,NaN,0.362300002389154,0.148002189646737
NaN,45,128,0,107,-0.17298085233924,0.514460906944768,0,0,69,1,0,1347.44489582226,NaN,NaN,0.334535613325038,-1.4492807421586
NaN,45,129,0,NaN,NaN,NaN,NaN,NaN,134,0,0,1563.8244710517,NaN,NaN,0.959941476757749,-1.30094908006143
3,45,130,0,26,0.600579845384418,0.0123490476883499,0,0,111,1,1,1340.69916114004,3,403.193427971019,-0.319356834119889,0.857735930545865
NaN,45,131,0,NaN,NaN,NaN,NaN,NaN,72,0,0,2630.66600337879,NaN,NaN,1.26954220155902,-0.0887920696359266
NaN,45,132,0,94,-0.303118736083192,0.75914528800393,0,0,94,1,0,1953.89997889015,NaN,NaN,-0.249691360606197,-0.198262898983764
2,45,133,0,25,0.97717679576864,0.683670577882755,0,0,124,1,1,1543.91570140433,2,473.398847010685,1.41418653546515,0.0902053972816628
4,45,134,0,14,1.38832132855493,-0.35222136167758,1,1,169,1,1,960.301242336755,4,189.52953054486,-0.158665988028101,-0.745332521068621
3,45,135,0,61,-0.937737989542456,0.731698496064835,0,0,237,1,1,1134.32625081987,3,598.463716012702,-0.25880883661764,0.407560612203693
NaN,45,136,0,NaN,NaN,NaN,NaN,NaN,89,0,1,1970.10103206139,1,250.056077602494,-0.92315370032875,1.71644914939623
NaN,45,137,0,113,0.183967691478895,-0.0906384129430077,0,0,162,1,0,3397.3550574683,NaN,NaN,-1.14888303754786,1.67193756775317
NaN,45,138,0,NaN,NaN,NaN,NaN,NaN,93,0,1,1870.40900345983,2,212.320119617289,0.176336797456573,-0.0680782830825874
NaN,45,139,0,49,-0.401780367929694,1.24207403974034,0,0,219,1,0,1070.4771920864,NaN,NaN,0.0314396407379944,-0.665665286087913
NaN,45,140,0,NaN,NaN,NaN,NaN,NaN,131,0,1,1743.04477291662,2,318.547479613699,0.0127428329554166,0.142412028243503
NaN,45,141,0,66,-1.95211924504082,1.00514706444125,0,0,154,1,0,1328.4168692071,NaN,NaN,0.204556358768883,0.0648045246487072
NaN,45,142,0,NaN,NaN,NaN,NaN,NaN,186,0,0,3059.0599270854,NaN,NaN,-1.94871430391034,2.74681433932935
4,45,143,0,41,-0.870690417521924,0.240953420878932,0,0,20,1,1,2357.72835652097,4,643.317784011742,-0.47072557002997,0.974275743393373
3,45,144,0,32,-1.13306240641175,0.610989742985775,0,0,224,1,1,1506.16947984327,3,450.65989655086,-0.960756755334244,-0.259738401723848
NaN,45,145,0,NaN,NaN,NaN,NaN,NaN,97,0,0,2128.59147827749,NaN,NaN,-1.36408565431377,0.735789319432422
