memory_score,subj_idx,image,emotional,trialnr_enc,emotion_score,rt_emotion,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
4,10,75,1,7,2,1384.67732368258,1.47247515007652,-0.814902188694575,0,0,1,1,1058.44687837225,4,638.449136655709,0.169517603425987,0.960602693971627
4,10,76,0,57,2,1874.9792101969,-0.736870852358944,1.90522304432447,0,0,1,1,976.957809875557,4,644.107676495878,0.0670083451020243,0.445288004663332
4,10,77,1,46,2,1512.40357674692,0.751158970925384,-2.06908126468862,0,0,1,1,1218.9425074389,4,443.78830902042,-1.2971034620037,0.343187670414251
NaN,10,78,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1232.49701996428,NaN,NaN,1.99140392968691,0.745573697911838
4,10,79,0,27,0,1482.79859850652,0.941241793836575,-0.28442072394315,0,0,1,1,1346.8630389566,4,781.681407526321,2.45774337361063,-1.13066754548995
NaN,10,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1233.73986427896,NaN,NaN,-0.617143232211319,0.120497159793881
NaN,10,81,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1563.02182707964,NaN,NaN,0.169381738082179,-0.467452827844637
NaN,10,82,0,122,0,919.929499370255,-0.339334380484699,0.621138663554824,0,0,1,0,1408.94402151525,NaN,NaN,1.49205528614119,-0.501121875529409
NaN,10,83,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,3342.06931903782,NaN,NaN,1.19756757593075,-0.909111073554704
4,10,84,0,8,2,1514.37101852082,-1.02549507804313,1.04926697061441,0,0,1,1,1343.60071751826,4,383.855582771957,0.996901356125976,-1.35709578916314
NaN,10,85,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,3502.30736264575,NaN,NaN,2.67050878030301,-1.6847224938961
3,10,86,0,109,1,2041.76691201656,-0.598477465750772,-0.82343513169273,0,0,1,1,1619.23822923382,3,837.813545338577,-0.992668528366452,0.357974866321403
4,10,87,1,101,3,1400.17245992135,0.246216162234601,-1.14879817676328,1,1,1,1,1366.96304498719,4,377.752443372628,0.0641319276521578,-0.0463968073260591
NaN,10,88,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1010.02851082876,NaN,NaN,-0.0882832670724275,-0.0767124845442955
NaN,10,89,1,54,2,2151.62807170168,2.39603799774811,-0.796355627193373,1,0,1,0,1412.3314467256,NaN,NaN,-0.875766734689707,-0.151212174168978
NaN,10,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1346.48067050489,NaN,NaN,-0.0535492561638018,-0.854052913742579
4,10,91,1,48,3,1482.89419570995,0.414496961927454,-0.129957084352428,0,0,1,1,1409.93586988179,4,334.536468070382,1.02756928644056,-1.31866689205033
4,10,92,1,139,0,2681.45471996741,-1.14065363891699,0.119536328802135,0,0,1,1,1194.12705154173,4,594.450140051777,-0.193592180943123,0.371467777710164
NaN,10,93,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1526.70035272854,NaN,NaN,-1.15694677746828,0.00243290240726224
