Bildnummer,Antwort_Emotionsrating,RT_Emotionsrating,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Bildes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
283, , , , , , ,1,0,0,0,0,0,4143.686533, , ,0,-.0737421821762991,-.292844906040564,-.598689697982149,-.517427504598117
284, , , , , , ,1,0,0,0,1,2,4417.557412,3,783.0989666, ,-.483453746243458,-.194689707280301,-.126642389445193,.0547834706662238
285, , , , , , ,1,0,0,0,0,0,2443.195237, , ,0,.720423340146224,.58817459538279,-1.05192580823968,-1.13984317236669
286, , , , , , ,1,0,0,0,0,0,2777.438877, , ,0,.302454585884577,.302691773635101,-.52204177855452,.0163109577662978
287, , , , , , ,1,0,0,0,0,0,6577.590612, , ,0,.712485364023232,.537174038655336,.396628921708489,.170370119946698
288, , , , , , ,1,0,0,0,0,0,2229.136759, , ,0,.755204343131652,.883512885129152,-.68222227282894,-.795381418504605
289, , , , , , ,1,0,0,0,1,2,3170.112262,2,2171.276744, ,.80536027794268,.530677512434764,-.496957183052004,.037871709553614
290, , , , , , ,1,0,0,0,1,2,6118.249812,3,954.7690042, ,2.60698573559361,2.37547138293528,-1.27660157235208,-1.05007992870106
291, , , , , , ,1,0,0,0,0,0,2514.038107, , ,0,1.03492963531347,1.13053734306324,-1.43616899064255,-1.83591608050487
292, , , , , , ,1,0,0,0,1,2,2447.166667,3,577.6448265, ,.75497842910568,.328199230999602,-.603703240447111,-.548842785472731
293, , , , , , ,1,0,0,0,1,2,6233.553131,2,1209.075061, ,-.0794030636877239,.226197667260331,-.176712057445131,.0191885774491291
294, , , , , , ,1,0,0,0,0,0,4157.844136, , ,0,.988048080670432,1.17069902583527,-.452224534921545,-.159935394751848
295, , , , , , ,1,0,0,0,1,2,3085.01965,2,1214.380032, ,.735625744584533,.768887342867633,.216983251747306,.230652284585734
296, , , , , , ,1,0,0,0,0,0,1739.196058, , ,0,-.34342385213338,-.829277081123165,-.533060349911032,-.649000748913734
297, , , , , , ,1,0,0,0,0,0,1616.532441, , ,0,1.76787036743845,1.97945722912685,-.143202763883056,-.201923472062952
298, , , , , , ,1,0,0,0,1,2,4503.80991,3,548.5677349, ,-.805632415412875,-.290604775838571,.476684789995082,1.62270168293798
299, , , , , , ,1,0,0,0,0,0,6248.111405, , ,0,.484773821856014,-.154162052050557,-.457904985859728,-.707242594481659
300, , , , , , ,1,0,0,0,1,2,4139.522306,3,739.4109901, ,.104686641023501,.413143985037211,-.851450280068834,-.913173983761526
