Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
45, , , , ,1,0,0,0,0,0,1628.282624, , ,0,-.606553435220916,-.787824636212327,.642787987779095,.748467132339457,1
46,-.538334049107164,-.655313823038502,.170984762048378,.157169638116975,1,1,1,1,1,1,776.9734502,4,390.444968,4,.0325788862769733,-.228197829613295,-.213926778725313,.439615075176078,1
47, , , , ,1,0,0,0,0,0,1232.319791, , ,0,-.105117876981865,-.408645251987491,1.35747074575527,1.12704702346669,1
48,.734476154933113,.457968223753182,.894446023214209,1.0202952704696,1,0,0,1,0,3,1319.056807, , , ,.311628079075858,-.0132795541277627,-.015841220551908,-.105211038626812,1
49, , , , ,1,0,0,0,1,2,1081.761212,4,216.9352497, ,-.460128384717126,-.0884252582469329,-.329368320058892,-1.09566431547149,1
50,1.39057574508894,1.15380504840177,.247546777880892,.501616738324528,1,0,0,1,1,1,1852.817874,4,787.0887647,4,-.335729491554742,-.464398110063232,.808816164717288,.52515595348767,1
51, , , , ,1,0,0,0,0,0,1515.249969, , ,0,-1.00563033758611,-1.14602176202154,.520932445072143,.585704756344123,1
52,-.0975800299533955,-.206618062443611,-.273135236918513,.113549179564433,1,0,0,1,1,1,787.7457467,2,328.1506182,2,-.143502372934551,-.589991914008069,.243711085413873,.278764290378737,1
53,-.766905115791612,-.698252670820244,-.141167790870512,.0218959687363829,1,0,0,1,1,1,894.1174772,4,1359.37683,4,.994323757091469,.688726863148564,-.523674194783063,-.177749703435039,1
54, , , , ,1,0,0,0,1,2,823.4883881,3,2384.489708, ,-.820714551528341,-.52884361805402,1.39981554684592,.901337872224567,1
55, , , , ,1,0,0,0,1,2,1539.470084,1,740.6743368, ,-1.4366943199119,-1.65229368293519,.698841537424269,.577311852977911,1
56,-.963562486372928,-1.14015313077278,-.238058922282665,-.0409483051693529,1,0,0,1,1,1,785.9477077,1,1453.218426,1,.10264582333346,.339222387254375,.250717779119516,.141780117579718,1
57,1.02313697373963,.779014310810085,-.445066680789339,-.30199375062394,1,1,0,1,1,1,2062.757175,4,646.6242259,4,.360979573872162,-.443415851647635,-.386586709237751,-.0557528580757476,1
58,-.463748404851941,-.737494796607541,-.172947761031435,-.166068126520122,1,0,0,1,1,1,730.5008719,4,288.9498394,4,.4968485039904,.147084849477207,-.134996555210221,-.103753180412222,1
59, , , , ,1,0,0,0,0,0,1941.547853, , ,0,-.732410450478899,-.395156657291746,.165074359644451,.184021323532893,1
60, , , , ,1,0,0,0,0,0,1079.386068, , ,0,-.817972801817427,.00620397154386728,1.20088637337684,1.78259272567991,1
61, , , , ,1,0,0,0,0,0,1747.255063, , ,0,.489841810284747,.311645704765296,-.174558064927687,-.284459474805821,1
62, , , , ,1,0,0,0,0,0,2436.987853, , ,0,-1.45710512331532,-1.07947802818919,.673658058598169,.778026296953216,1
63,.772715088101703,.336260761166506,.225983469703102,.183414283571044,1,0,0,1,0,3,531.7925695, , , ,.243502301983007,-1.04051097684593,.386168743557957,1.03412559334044,1
64, , , , ,1,0,0,0,0,0,2174.411066, , ,0,-1.20303631677134,.897050714560622,-.125206570131382,-.0119898619517715,1
65, , , , ,1,0,0,0,0,0,1389.513631, , ,0,-.31196766072689,-.30373395990947,.661980235755427,.476597012582991,1
66,1.40610132697694,1.64916579565875,1.23658384630162,1.65897508581931,1,0,0,1,0,3,1720.049017, , , ,.182581372767305,.358705912926002,.39963558262157,.0569518442709264,1
67,.505617577472969,.37664033987517,-.259564728305301,-.0406070692929374,1,0,0,1,1,1,919.8668291,4,585.3070861,4,-1.0187298084271,-1.05939500941998,1.05747925197307,.68342213125107,1
68,-.542646710742721,-.680740188106314,-.246109224002364,-.193157748218238,1,0,0,1,1,1,1467.454853,4,1469.653882,4,-.244642473381308,-.265366401663797,1.28603664895134,1.31638152594973,1
