Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
144,.00161118766437946,-.380903305757789,-.141742812421922,-.0216116055060468,0,0,0,1,0,3,848.2974768, , , ,1.72667556876016,1.17851272387852,.0837147578396589,.00263776962939488,0
145, , , , ,0,0,0,0,1,2,665.2558236,2,443.5330745, ,-.180059035746631,-.776734013906943,.228783781432273,.357897379260444,0
146, , , , ,0,0,0,0,0,0,590.1664429, , ,0,-.332378464130301,-.268363867151734,-.404255762930254,-.318630581368383,0
147,.991510788412216,.923755195054521,.0284635667946652,.141044162249965,0,0,0,1,0,3,672.7251438, , , ,-1.46593965016157,.294859898032813,.836538300683103,.10641002482199,0
148, , , , ,0,0,0,0,0,0,2124.198461, , ,0,-.853920186915991,2.20975263276215,0,1.10976496675116,0
149,-1.02652734625205,-.820528859867601,.324024644218074,.414032863378965,0,0,0,1,0,3,1001.860273, , , ,-1.20770744590844,.729792140333388,.940434657452987,-.337514613942416,0
150,-.458693564237242,-.682897056381743,.169631357665186,.125119821350789,0,1,0,1,1,1,1019.149332,4,535.3828732,4,-1.0902427073812,-1.33785955324993,.693585444472989,.791031142268249,0
151,-.367552648339171,-.401093095112119,.463754881210067,.382468544810932,0,0,0,1,1,1,1017.733177,4,427.0732384,4,-.334510936127673,-.205117345356134,.570283939868461,.583906277051362,0
152,-.470481506041093,-.396258920196297,.252146950292148,.259907992533231,0,0,0,1,1,1,3207.193118,3,2315.45271,3,-2.10521819831072,.0706494795346505,.519701019188484,-.395065951310933,0
153,-.407229135386282,-.410323051630328,-.0494518534210339,-.0780695551970063,0,0,0,1,0,3,941.8548513, , , ,-.339918377517154,.0157310294084865,.755732945607441,.848347564784764,0
154, , , , ,0,0,0,0,0,0,1052.791772, , ,0,-.867324296613745,-.74915733141786,.869743936070751,.6087852406013,0
155, , , , ,0,0,0,0,0,0,1096.87308, , ,0,1.13384835349092,.838899884094516,.394507319513682,1.08268453424516,0
156, , , , ,0,0,0,0,0,0,1402.011045, , ,0,.162964316973391,-.325945179175132,.0688483816294201,-.111475741496611,0
157,-1.27062399482449,-1.10147973144619,.470367629051265,.476592774054361,0,0,0,1,1,1,1042.094964,3,1717.446753,3,.348489380744703,-.325915204520253,.170790945406198,.447931007270247,0
158, , , , ,0,0,0,0,0,0,989.4687204, , ,0,.973303675974516,.425249646758346,.417355233771243,.227807377083694,0
159,2.89138199426228,3.05704814908547,-.464329902761482,-.474033504981304,0,0,0,1,0,3,807.3345876, , , ,-.083760517130641,-.215908221112729,.602543018808287,.483790929754054,0
160,.802328697999178,.422707183190688,-.289810861909322,-.195641902475784,0,0,0,1,1,1,1892.800305,2,538.459589,2,-.0527199936178823,-.704794842196299,-.0639741599211417,-.0227807377083609,0
161,-.321178851458022,-.486402064214928,-.636278652342451,-.46575390580944,0,0,0,1,0,3,1091.613054, , , ,-.708607452237962,-.715885464501686,.29622772629828,1.32988398890083,0
162, , , , ,0,0,0,0,0,0,961.1832091, , ,0,.317720856211201,-.0309646005066284,-.0578813827857975,.0701406924178726,0
163,-.232518420683662,-.675882763366611,1.06216064237469,1.12759499605225,0,0,0,1,1,1,1694.875509,1,1769.350369,1,-.750342975615088,-.807607908432757,.64827148720089,.392368232371788,0
