Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,hit_rate,filter_$
134,-1.46984457816197,-1.52317294993442,1.09000259253572,1.15200676405126,0,1,1,1,1,1,1066.62674,4,333.4169505,4,.0264398795258512,-.0214064862708102,.521884798823053,.486045393219063,1,0
135,-.210797800084367,-.139533381316945,-.66945946461003,-.649578402628845,0,1,0,1,1,1,1617.49731,2,443.1516574,2,-.880335693767145,-.941645985948308,1.41590470993821,1.45698613989138,1,0
136,.0153790559452697,-.0166229637675245,.611541154942271,.550354974672015,0,0,0,1,0,3,2727.320553, , , ,.0520966122459688,-.0502638695718605,-.0231884483594182,.0158955705538656,0,0
137, , , , ,0,0,0,0,1,2,2088.322188,1,498.618392, ,-.362523535857019,-.489201963794708,.799142273151036,1.17561615969923,0,0
138, , , , ,0,0,0,0,1,2,4232.210874,1,543.0011465, ,-.20456747788653,-.31957428038877,.466944307263115,.66969862570841, ,0
139,-1.96296198105627,-1.82466079074852,1.27981325397626,1.1350391467694,0,0,0,1,0,3,1709.842425, , , ,-.0953494302041446,-.0414827439668542,.507182753675582,.576337562425687,0,0
140, , , , ,0,0,0,0,0,0,3292.507623, , ,0,-.423502471763131,-.556165974496312,.670679865865935,.921447592469683,0,0
141, , , , ,0,0,0,0,1,2,4428.314528,1,549.2592823, ,-1.6733412889648,-1.72190427205804,.32790868310421,.538019771022244, ,0
142,-.320947018913584,-.35949388648544,1.0982047671567,1.10637411892026,0,0,0,1,0,3,1717.685545, , , ,.326957224267781,.268109854697314,-.388226946151116,-.443487247338312,0,0
143, , , , ,0,0,0,0,0,0,2531.659578, , ,0,.357912123428872,.469970161611023,-.549849135136,-.587638189375368,0,0
144,-1.26049028640298,-1.30818461328659,1.55377068936745,1.60061364947185,0,0,0,1,1,1,1109.898947,3,858.6887972,3,-.39664529042429,-.51768023289357,.59062720646943,.591949480304693,1,0
145, , , , ,0,0,0,0,0,0,4237.089327, , ,0,-1.50691025059338,-1.4303986753481,1.42959488915768,1.39216581430428,1,0
146,.603209100036336,.553725642588153,.0931832077285987,.14947515831333,0,0,0,1,1,1,2142.488793,2,947.2961607,2,-1.15176269240298,-1.037544618416,1.94831521149109,1.89686106094681,1,0
147,-1.55481734795713,-1.44261176653821,1.13640981233659,.9974172249686,0,0,0,1,0,3,2523.357099, , , ,-.462936445896503,-.488447895339815,.354984454645138,.462824337891045,0,0
148,-1.13021665461407,-1.13165748562875,1.32957612044704,1.41050216670435,0,0,0,1,1,1,1718.267764,4,393.8497111,4,-1.30157252580667,-1.34219634573647,-.134595314274672,-.0123103460314176,1,0
149, , , , ,0,0,0,0,0,0,3632.253603, , ,0,-1.70391650594131,-1.51092861997319,1.3502982896657,1.34780755610912,1,0
150, , , , ,0,0,0,0,1,2,1187.567003,4,491.2262918, ,.0590917124006615,-.0541131577533151,-.212532651522931,-.136090574246677, ,0
151,.526286405299266,.495369739922628,.0311664601155385,.0480080048279872,0,1,0,1,1,1,3398.118036,2,909.2815702,2,-.203054567206653,-.314333054483478,-1.52126751277122,-1.35381411515128,1,0
152, , , , ,0,0,0,0,0,0,3013.456484, , ,0,-.543749834391928,-.568985914339468,.780313662308181,.691523924851496,1,0
153, , , , ,0,0,0,0,0,0,1568.805491, , ,0,-1.24056681605752,-1.3642738806225,.997401072466925,1.15970419770262, ,0
154, , , , ,0,0,0,0,0,0,1438.463749, , ,0,.122503108511295,.0128347098607417,.170284847045231,.167938557649218, ,0
155,.248915215666383,.292713812542722,-.316383000053369,-.278467960830234,0,0,0,1,1,1,1218.596887,3,344.3838452,3,.383396108296933,.340680483881983,-.209753011250462,-.078473411235444,1,0
156, , , , ,0,0,0,0,1,2,2308.62339,2,445.3041045, ,-2.05040580514707,-1.84683935192097,-.183905694019476,-.191784329769076,1,0
157, , , , ,0,0,0,0,1,2,3928.174667,1,344.0117381, ,-.275929385542318,-.208266449968397,.651930445263054,.558072900640935, ,0
158,.540503250340752,.4466898543637,-.360117809994786,-.218852160921377,0,0,0,1,1,1,1883.414031,3,498.9471935,3,-.0618068956778221,-.131917717409481,.553537703385054,.532975211385447,1,0
159, , , , ,0,0,0,0,1,2,3358.25927,1,344.9477799, ,.140118223200651,.120875738160556,.39760061943751,.406089146259125,1,0
160, , , , ,0,0,0,0,0,0,1403.408694, , ,0,.873075179263694,.948741541669695,-.523935448941987,-.430191241634481, ,0
161, , , , ,0,0,0,0,1,2,2413.559198,2,1265.390639, ,-2.27314494731346,-2.16522636319297,2.33118852032361,2.35725263554434, ,0
162,.469332533421858,.403276879678325,.236479380649926,.226473243942591,0,0,0,1,1,1,2107.329163,2,642.6353909,2,-.891688180311926,-.857876555443107,-.442068390309138,-.213279523468076,1,0
163,.00669182618498797,-.127930498252405,1.04784417910741,1.04309794193864,0,0,0,1,1,1,990.791953,4,642.8801475,4,.360062515540535,.351868574884816,.419844026556939,.248531835679326,1,0
164, , , , ,0,1,1,0,0,0,2112.627198, , ,0,-.545716769114319,-.573932063231021,.798268540836661,.851070405305617,1,0
165, , , , ,0,0,0,0,0,0,6093.24972, , ,0,-1.21546100498851,-1.28268381128544,1.66052595404692,1.6151874781005, ,0
166, , , , ,0,0,0,0,0,0,3033.508566, , ,0,-1.0843361625775,-1.09196187998681,.179466766821975,.169250959622481, ,0
167,-.217961522092974,-.265773822452674,-.675403469462013,-.583094383951595,0,0,0,1,1,1,1599.193811,4,337.3927225,4,-.894551661679733,-1.04962383889589,1.03168365864062,1.16609344548778,1,0
168, , , , ,0,0,0,0,1,2,2672.452398,1,339.2227837, ,-.217177957957748,-.248744155441382,.850763562366941,.813340129155729,1,0
169, , , , ,0,0,0,0,1,2,2955.106881,1,345.1582129, ,-.316289822633982,-.330824460189866,.624116381857866,.649374168041313, ,0
170, , , , ,0,0,0,0,0,0,2449.800826, , ,0,1.0065684293654,.910640440172188,-.595897882584241,-.560708104461175, ,0
171, , , , ,0,0,0,0,1,2,2575.096026,3,1217.97457, ,.307383659524602,.508950130047934,.633264928604908,.511546349219265, ,0
172,-1.4976441903872,-1.54158957040868,1.4180009493743,1.39292404144135,0,0,0,1,1,1,2348.117427,2,449.3055391,2,.470754067331,.392121363686097,.434053018186479,.441316467729075,1,0
173, , , , ,0,0,0,0,0,0,2843.349965, , ,0,-.56853581385908,-.672734278349439,.728222133905386,.824734199746796,1,0
174,.582513746800341,.4855594337489,1.01366316774445,.885788345629348,0,0,0,1,0,3,2101.391167, , , ,-.457894415887266,-.608223085623177,-.152409724401293,.0301147745990542,0,0
175,.185772769820944,.238020429649811,.132248926202359,-.045686378077737,0,0,0,1,0,3,1497.250898, , , ,-.39699617860665,-.40441489788599,.0162790622120882,.00323249805951847,0,0
176, , , , ,0,0,0,0,0,0,2042.858398, , ,0,1.05050279740635,.999192726029513,.108907697360963,.162796208155158,0,0
177, , , , ,0,0,0,0,0,0,2092.282242, , ,0,.171890478767184,.15679954072501,.328019737988365,.326318234361999, ,0
178, , , , ,0,0,0,0,1,2,3636.000015,1,341.4727486, ,-.869323348157872,-.841964748668495,1.44477068369772,1.38044012017599, ,0
179, , , , ,0,0,0,0,0,0,3721.985628, , ,0,.640968020256634,.508813379469762,.510490831676382,.754877006268173, ,0
180,.498130026045756,.412878085143001,-.0151062227482737,.0498946886094611,0,0,0,1,1,1,833.3787774,4,345.1784222,4,-.542564054822419,-.466334348950797,1.1826047950786,1.3338746080334,1,0
