Wortnummer,Emotionalität_des_Wortes,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
69,1, , , , ,0,0,0,1,2,1347.413855,2,271.8984629, ,-.0173179600341332,.41951391724654,.408495917402872,.21619002640771
70,1, , , , ,0,0,1,0,3,2955.571289, , , ,.25919947509024,.113294156566108,-.0919990628216646,-.31777497627143
71,1, , , , ,0,0,0,0,0,1198.902571, , ,0,-1.17020928709998,-.33257200407961,.245653241804514,.302995107572785
72,1, , , , ,0,0,0,0,0,2111.434266, , ,0,.687183206009058,.450523159806042,-.599564447260645,-.385252359069889
73,1, , , , ,0,0,1,0,3,1903.935589, , , ,1.4446427770096,1.27750485110151,-.537198270431028,-.346126696413166
74,1, , , , ,0,0,0,0,0,2529.125184, , ,0,.184062010931099,-.112700298109328,.883493829778779,.282061716398549
75,1, , , , ,0,0,1,1,1,2081.960103,4,1346.513713,4,-1.28592381314813,-.819601550096809,.560020097571448,.140424690974897
76,1, , , , ,0,0,1,1,1,1223.187485,3,1152.150349,3,.753381113723921,-.832486316450451,.419178175412423,.0256991661354415
77,1, , , , ,0,0,1,1,1,2346.634652,2,387.9343724,2,.275217808952611,.147102622241743,-.216158358829912,-.201756299223274
78,1, , , , ,0,0,0,1,2,2419.409839,3,700.2189405, ,-.413158174943905,-.255467890753352,.407355103930714,.652270968051004
79,1, , , , ,0,0,0,1,2,1641.759854,2,691.9171651, ,.235142958357959,-.526043824579556,-.648700969515345,-.0692696698377457
80,1, , , , ,0,0,1,1,1,1132.99169,3,1093.245565,3,.227037787692153,.227916720150316,1.58196914890391,-.233396539851691
81,1, , , , ,0,0,0,0,0,2248.567904, , ,0,.652878046747016,.887890400071763,-.476949846787297,-.367420094785532
82,1, , , , ,0,0,1,1,1,2083.132919,2,477.6682273,2,1.23376127947377,-.554429630334909,.756981373555681,2.11859998033541
83,1, , , , ,0,0,0,1,2,1430.68311,3,491.6688721, ,-.222241625991675,.196020862424475,.222792996318048,.331876929158286
84,1, , , , ,0,0,0,0,0,1171.650566, , ,0,.453373248533913,1.03318697192965,-.186853084233955,-.348457480782584
85,1, , , , ,0,0,0,0,0,1864.802865, , ,0,.651588722681279,.608477337623082,-.464499774346844,-.47827730183081
86,1, , , , ,0,0,0,0,0,1518.987196, , ,0,-.192724728142577,-.275324204992198,-.445411081409778,-.167361460542581
87,1, , , , ,0,0,0,0,0,1063.196981, , ,0,-1.24611864086873,-1.11313327811215,-.285659929784718,-.0712181344626004
88,1, , , , ,0,0,1,0,3,1657.047719, , , ,-.804422924218624,-3.14968934822838,.805983142370342,3.2678264542527
89,1, , , , ,0,0,1,1,1,1534.026244,2,1364.761002,2,.12858921965541,-.0550526891698655,-.38669406242991,-.165717780085934
90,1, , , , ,0,0,0,1,2,1965.213639,1,1502.232146, ,-.424749641359428,.14381880923737,.0615650841910582,-.141541544372522
91,1, , , , ,0,0,1,1,1,6048.37575,2,1003.732735,2,-1.14439912637732,-.904022371475334,.549930000893786,.443707453260024
92,1, , , , ,0,0,1,1,1,1875.082323,2,1303.573783,2,-.0227286078288299,.799645362668193,.211627258197482,.00990618716701241
93,1, , , , ,0,0,0,1,2,2083.532305,3,496.0242647, ,-.376525693170293,-.333381248541934,.125766018904722,.00414342408265928
94,1, , , , ,0,0,1,0,3,1961.844041, , , ,.456806246202131,.629125420225744,-.32343322503049,-.428421788718607
95,1, , , , ,0,0,0,0,0,1418.144635, , ,0,-.75574217585456,-.339002197316646,.47812335622568,-.0777596836661628
96,1, , , , ,0,0,1,1,1,2082.08821,3,1194.852572,3,.444238711801964,.409792322096862,-.791321716351419,-.403293197251878
97,1, , , , ,0,0,1,1,1,1937.089807,2,584.944912,2,.266118280422048,-1.62308211865111,-.281287928359696,-.107088988972754
99,1, , , , ,0,0,1,1,1,1444.548381,4,489.6671302,4,.0686661283021213,.691999512018816,.284497844238151,.420082367827196
100,1, , , , ,0,0,0,1,2,1418.177035,3,992.7853886, ,.513984006511792,.440446528064583,.0578041047228952,-.381566491020898
