Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
101;0;1314,951038;-,213525431546384;,082380053887218;,326012892855865;,33898547306571;0;0;0;1;1;1;2228,118429;2;305,0800929;2;,218853426002321;-,20479421471148;,243160336370531;,215880215309695
102;3;1868,567146;1,06578547189189;1,04263651974505;,511235913070779;-,0384491442210089;1;0;0;1;1;1;2241,223773;2;640,6150771;2;,234223561558699;-,0835967080458628;-,916939006210497;-,760242324467267
103;1;1874,969012;,0452074629704697;,916193893797971;,403167714011826;-,100960136631282;0;0;0;1;1;1;1853,074969;4;663,1735251;4;-,802368500680533;-1,27863125092977;,465092791139908;,620553823919389
104; ; ; ; ; ; ;0;0;0;0;0;0;1387,557163; ; ;0;,888548401763997;,596495228757457;-1,05329659340518;-1,07694191933958
105; ; ; ; ; ; ;1;0;0;0;0;0;1918,156186; ; ;0;-,620956260568505;,16704048549648;,450365267342043;,193167890638907
106; ; ; ; ; ; ;0;0;0;0;0;0;1090,300947; ; ;0;-,100408436857732;-,225150504207294;,48782668859522;,494921159894911
107;2;2024,840991;,629938119827763;,809963980973501;-,600903016344306;-,47541618476533;1;0;0;1;1;1;2997,62185;2;1183,738909;2;,156149848494478;-,361956440607008;,788989846841745;1,0948399615268
108;0;1437,912728;,228182407130411;-,113976853292148;-,559935524704743;-,219467487020431;0;0;0;1;1;1;1777,612112;2;896,8835756;2;,377654216811073;-,00112091851701893;-,859038867233649;-,493870528349326
109;3;1303,954647;-1,04421882790192;-1,22318589475241;,291647169321517;,59851290634191;1;0;0;1;1;1;2508,347962;3;802,7755922;3;,518380269236279;,422027522412478;-,349430732219473;,0615242085943618
110; ; ; ; ; ; ;0;0;0;0;0;0;1536,177093; ; ;0;-1,01560231586207;-,729504600504991;-,772676764098832;-,888173699947862
