Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left;filter_$
41;2;2339,203954;,0246655491272491;,0515785812765877;,378526637548475;,502598024698306;1;1;1;1;0;3;667,108217; ; ; ;-,939583677081538;-,947861558860746;1,11779684062617;,888143262356879;0
42; ; ; ; ; ; ;0;0;0;0;0;0;1170,433284; ; ;0;1,30912038890192;,860313293446531;,0638210321419619;,324287284892033;0
43; ; ; ; ; ; ;1;0;0;0;0;0;922,2983619; ; ;0;,690229350070054;,322240422383495;-,250693402200152;-,327484812683098;0
44; ; ; ; ; ; ;0;0;0;0;0;0;1199,493862; ; ;0;1,16935075391687;1,64822091585094;-,103981608166726;-,539380865618502;0
45;0;777,5574867;,285830367443775;,0987122432888744;-,277673936503894;,122608200432065;1;0;0;1;0;3;1236,841424; ; ; ;-,666988309252966;-,532789416693052;-,055277842020792;-,184881929499025;0
46;0;824,2999384;-1,319547903163;-1,48038330756891;-,517097698272049;-,395002459701383;0;0;0;1;1;1;869,0026744;4;382,2513036;4;1,09645895545555;1,32574108694827;-,210559553603929;-,579499894931942;0
47; ; ; ; ; ; ;1;0;0;0;0;0;1093,797981; ; ;0;1,08050616680205;1,0675046797607;,040155637260795;,0367874637412342;0
48; ; ; ; ; ; ;1;0;0;0;1;2;1359,096111;4;213,3220604; ;-1,08774986447519;-,986219738008116;-,212082089176481;-,39952681143222;0
49; ; ; ; ; ; ;0;0;0;0;0;0;2191,424793; ; ;0;-,496436229990738;-,4537275813851;-,326519698006112;-,327319326595665;0
50; ; ; ; ; ; ;1;0;0;0;0;0;1179,538329; ; ;0;-1,1539007585199;-1,41647857893396;,249059542872732;,2825078133382;0
51;0;699,9505067;-1,7511670643096;-2,35173730461931;-,280612076198915;,0875434126599024;0;1;0;1;1;1;778,0882184;4;158,0535277;4;,207871022214328;,267480421587398;-,115501710899574;-,355658585331033;0
52; ; ; ; ; ; ;1;0;0;0;0;0;1276,533933; ; ;0;-,765168612848345;-,615296853098277;,529178391320474;,428931212427795;0
53;0;829,3261568;-,403249257011449;-,182627756390057;,276733911843043;,149365131052636;0;0;0;1;0;3;1325,26491; ; ; ;1,28417004384203;1,34464525882816;-,218722458899424;-,603179024647414;0
54; ; ; ; ; ; ;1;0;0;0;0;0;1275,192937; ; ;0;1,00256114125304;1,13220194869967;-,964673949928889;-,873344567702034;0
55; ; ; ; ; ; ;0;0;0;0;0;0;1688,221927; ; ;0;-,05518788290409;,0198371143049714;,330617710038934;,250495838653928;0
56;2;2338,171243;1,20309366413242;1,10037905066667;,826848072041805;,83733866731917;1;0;0;1;1;1;863,0020304;4;142,8352606;4;-,301511641053081;,301655947666164;,20862588225199;,0779735539194146;0
57;0;869,1041962;-,254971879034725;-,464224002691118;-,394074610815577;-,246848862678175;0;0;0;1;1;1;784,4381437;4;685,6505887;4;-1,04195147149225;-1,22305619606394;1,06757077311543;1,0676906808228;0
58; ; ; ; ; ; ;1;0;0;0;1;2;897,0939891;4;140,1657775; ;,398295525628916;,32131482223345;-,0594528406684379;-,0669311752943661;0
59; ; ; ; ; ; ;0;0;0;0;0;0;1017,679062; ; ;0;-1,8091675370825;-1,75448749648806;-,127014841259757;-,247433735038635;0
60;3;1488,054557;1,94635882888972;1,75623361032904;-,609417606772683;-,422325797855508;1;0;0;1;1;1;1219,141489;4;189,7595336;4;-,24090690631757;-,119776033646974;1,69141105156524;1,32625789852727;0
61;0;1136,96658;,934471273560592;,567562929514924;-,167588219757319;-,0149648027323468;0;1;0;1;1;1;869,4385542;4;213,2402728;4;-,211897478305554;-,316117640963273;,490507578921421;,587219122531604;0
62;3;1064,326482;-,774087773899077;-1,10202047852211;-,122844777069607;,157517190257974;1;0;0;1;1;1;667,5707178;4;161,9276941;4;-,0652591847006201;,304156003020932;1,00110604967198;,797313527498186;0
63; ; ; ; ; ; ;0;0;0;0;0;0;1067,466543; ; ;0;-,307761275642576;,112854847760028;-,211458925118482;-,900639937843191;0
64; ; ; ; ; ; ;1;0;0;0;1;2;1773,160115;4;124,8477616; ;,346416424765928;,759361170414954;,411212957173234;-,0878096984505212;0
65;0;897,1844348;,358519721908998;,0243826147767689;,32473125941572;,256745790549132;0;0;0;1;1;1;774,9366696;4;630,1652386;4;1,74443292272793;1,84485827890542;,427646991113822;,381215433918388;0
66;0;697,7188414;-1,48689929902786;-1,20644678529653;1,22090402951351;1,01073507638056;1;1;0;1;1;1;784,5587403;4;245,1845854;4;,133557997327355;-,116681796468435;-,328564979307653;-,343963624974821;0
67;2;1031,17833;1,10625480779877;,698228207071058;-,0660042730097115;,295360106531029;1;1;1;1;1;1;975,2938408;4;1039,073095;4;1,19442514910706;1,00691620286826;,52933730331409;,208343244278667;0
68;0;886,5639786;-,321615645800823;-,0632055556264652;,967764217307194;,928665433231497;0;0;0;1;1;1;1269,466843;4;272,6296177;4;,433259069379815;,303056190586754;-,433814926281046;-,229000956718308;0
69; ; ; ; ; ; ;1;0;0;0;1;2;1523,220413;4;979,7982529; ;-,415474491202772;-,118741356038169;,529242014221026;,246929239489904;0
70; ; ; ; ; ; ;0;0;0;0;0;0;823,6634772; ; ;0;-1,37695974270034;-1,3011357109433;-,0843744246910969;-,183619747476236;0
71; ; ; ; ; ; ;1;0;0;0;0;0;919,6166908; ; ;0;,79457352161527;,595535553554866;,279218250312072;,383406955889807;0
72; ; ; ; ; ; ;0;0;0;0;0;0;1012,507841; ; ;0;,674526695285843;,512680627531023;,784453572010067;,485606551069733;0
73; ; ; ; ; ; ;1;0;0;0;0;0;1018,666287; ; ;0;-,632287737685209;-,622338224120087;-,251787137531067;-,216953241989319;0
74;0;993,5931471;,0930282972694778;,0869654198034427;1,73474643796555;1,48499632461732;0;0;0;1;0;3;1166,29868; ; ; ;-,948344999669265;-,825646451372219;,729401812476402;,72719014226459;0
75; ; ; ; ; ; ;1;0;0;0;0;0;2888,26189; ; ;0;,671734106231875;-,2584075807149;-,435183100613869;,275452389988098;0
76; ; ; ; ; ; ;0;0;0;0;0;0;1274,629725; ; ;0;-,569147618309393;-,234152787002906;,170328963337004;-,259891693039002;0
77;2;1693,976199;1,23284237182374;1,06024215996385;-,754118943973298;-,578549523497408;1;1;1;1;1;1;957,5773635;4;603,0964293;4;,303346494194911;,275990418265355;-,257518977164126;-,43391550919415;0
78; ; ; ; ; ; ;0;0;0;0;0;0;1106,392951; ; ;0;-1,30744634930989;-1,71548420208459;-,287068851415359;-,161769662587412;0
79; ; ; ; ; ; ;0;0;0;0;0;0;971,7057706; ; ;0;-,873916128245927;-1,05727123639465;-,681582546602385;-,387852641458963;0
80; ; ; ; ; ; ;0;0;0;0;0;0;1242,957718; ; ;0;1,83746354808045;1,6791262997161;-1,30388772391502;-1,44709075417755;0
81; ; ; ; ; ; ;1;0;0;0;0;0;1108,849145; ; ;0;-,157555386799275;-,340047988815582;,517779724078178;,554045550824015;0
82;0;949,9980555;-,0185465016359892;-,289355271718592;,741798908059093;,946810541262937;0;0;0;1;1;1;1150,877067;4;238,0982511;4;-1,46264439242107;-1,63967318669755;,884016425593053;,950460844714803;0
83; ; ; ; ; ; ;1;0;0;0;0;0;1067,77926; ; ;0;-,79702567406224;-,951423405364067;-,275517663521055;-,165833265401028;0
84; ; ; ; ; ; ;0;0;0;0;0;0;954,9954412; ; ;0;,231659305163683;-,230683188864707;,19044135331519;,678789337510334;0
85; ; ; ; ; ; ;1;0;0;0;0;0;965,1133693; ; ;0;-,138051917367012;-,303291378412683;1,23261177281841;1,45427210241239;0
86;0;737,9949803;-1,36992387667308;-1,03319741908848;,291453347720306;,488519835278526;0;0;0;1;1;1;1587,408605;4;372,2206156;4;,418418664681624;,158848622159387;,171015451528807;,126869862182483;0
87; ; ; ; ; ; ;1;0;0;0;1;2;1274,519713;4;331,024682; ;1,33048170513341;1,34940134767996;,556016945142827;,238361055910252;0
88; ; ; ; ; ; ;0;0;0;0;0;0;1252,335708; ; ;0;,511986743760267;,374591482917648;-,405034715020335;-,630481849201915;0
89;2;1657,220113;-,828348143972724;-,96217610529914;,475033412426203;,886744510837645;1;0;1;1;1;1;937,3443939;4;187,3925042;4;-1,7924620226969;-1,79732688929115;,577833931888821;,567092773141063;0
90; ; ; ; ; ; ;0;0;0;0;0;0;952,219153; ; ;0;,288416742766722;,170039969428114;,139378601084858;,00826277332597419;0
91;3;1331,873585;-,982924206527793;-1,03266066783066;,422843520242755;,507413752883521;1;1;0;1;1;1;718,0609303;4;157,8716705;4;,160600659681746;,611638191316711;-,877880692954701;-1,01483454915688;0
92; ; ; ; ; ; ;1;0;0;0;0;0;1540,15622; ; ;0;-,260906576271034;-,299993811009442;,229942894865516;,575287840530136;0
93;3;1005,85993;,433205806473347;,641893241351356;,0582707957261853;,167712047534925;1;0;0;1;1;1;902,8316299;4;239,1813755;4;-,761692304044662;-,755180591060416;,383828243565074;,446084110292552;0
94; ; ; ; ; ; ;0;0;0;0;0;0;1053,285535; ; ;0;-,699763690049716;-,949812798773013;,290413266169496;,275227672090708;0
95;0;890,5041926;-,228994652421708;-,147766940929109;-,328330359360305;-,285273214497534;0;0;0;1;0;3;1025,155732; ; ; ;-,61149345213303;-1,06478838737754;-,494092831047968;-,370997213406738;0
96; ; ; ; ; ; ;1;0;0;0;0;0;899,1264912; ; ;0;-,600440498368621;-,0436156587420242;-,339748032041454;-,693368007348366;0
97; ; ; ; ; ; ;0;0;0;0;0;0;1530,927371; ; ;0;1,12295571466905;,890021941764154;,0953286184664026;,111238750692363;0
98; ; ; ; ; ; ;1;0;0;0;0;0;1614,721174; ; ;0;1,10514885591818;,822963924967744;,46131143487088;,442149033574939;0
99; ; ; ; ; ; ;0;0;0;0;0;0;986,9949203; ; ;0;1,75288605303553;1,81649221828019;-,196999160320499;-,409925244363657;0
100;2;1348,415106;-,544703752495822;-,492540621085049;1,24063623778113;1,13138521095739;1;0;1;1;1;1;685,2275383;4;217,7353835;4;,442005910885856;-,0229261580144021;,0279810030441869;,176358616871556;0
101;0;847,5852077;1,23169356820506;,934792013661292;-,814756247455254;-,779601033214592;0;0;0;1;0;3;1257,702899; ; ; ;-,138970236949867;-,352697234233099;,471197883346091;,413506101509789;0
102;3;1133,027328;-,675088589736415;-,743901546214552;,099634085766009;,208726612139643;1;1;1;1;1;1;718,0596473;4;130,1363724;4;,210889769061986;,18036399507476;,260228412332668;,711466450955627;0
103;0;1163,490618;-,468428454968928;-,240709299086193;-,304205829601879;-,475272226576609;0;1;1;1;1;1;946,4244213;4;183,8525444;4;-1,25026592109862;-1,3142571059323;,66135685556842;,612617341328934;0
104;0;971,8329668;,897283344003302;,574494229812438;-,960488807289342;-1,00921843803971;0;0;0;1;1;1;1007,025185;4;298,7997257;4;1,22684821757323;,724476907982722;,0854170019153442;,506236321871367;0
105;2;1485,483234;-,090277481051033;-,283452602305999;,268095379508518;,374054469173402;1;1;1;1;1;1;878,2809165;4;123,925005;4;-,775883697054115;-,758444500276383;,0124892625330388;,220547142014563;0
106;0;1219,354096;-,0535569670709615;-,0649910820894618;,119170198165145;,0330845138763484;0;0;0;1;1;1;854,7369923;4;577,6662586;4;-,220422053085607;-,107481853337519;-,248336872512118;-,120298746446233;0
107; ; ; ; ; ; ;1;0;0;0;0;0;1481,630937; ; ;0;-,310164065012641;-,335739740844463;,482687772464064;,424180109974113;0
108;0;995,1997024;-,673772773885178;-,443973686299653;-,0783315798328946;-,351840961994264;0;0;0;1;1;1;1102,58678;4;253,3447429;4;-,443622831190876;-,0592056324476982;,403060371494526;-,297753725573958;0
109; ; ; ; ; ; ;1;0;0;0;0;0;1343,38776; ; ;0;,762342857432835;,746931949814249;-,995809080056612;-1,05128356112607;0
110; ; ; ; ; ; ;0;0;0;0;0;0;1240,15994; ; ;0;-,795010658362562;-,743225389930491;,0804245755773699;-,0116167493578888;0
111;2;1658,061719;-1,29290521526153;-1,02044966213079;,290228718907991;,257705177902383;1;0;0;1;1;1;1106,211735;4;261,6129882;4;-,701165391156115;-,661047640144367;-,048599972210799;,110160465473795;0
112; ; ; ; ; ; ;0;0;0;0;0;0;975,8217718; ; ;0;-,67801133991803;-,110725409418874;-,397315281677776;-,743222327349224;0
113; ; ; ; ; ; ;1;0;0;0;0;0;1079,089363; ; ;0;,295457677094489;,281561074913722;,16724833668196;-,192200715331906;0
114; ; ; ; ; ; ;0;0;0;0;0;0;940,7676059; ; ;0;-,540694237017271;-,329260228144266;,491911349950955;,323965350563751;0
115;3;1055,378332;,808857665105046;1,2818599552407;,761167917111519;,715725173566437;1;1;1;1;1;1;1001,896621;4;319,1468772;4;1,13982449878119;,910415375103714;1,15565089767083;1,39391823555125;0
116;0;890,0160358;-,554353287412184;-,587874272719843;,169645886998364;-,111276974801511;0;0;0;1;0;3;1072,626539; ; ; ;,400142042322565;,166652335208925;,917947722979568;,979902337164203;0
117; ; ; ; ; ; ;1;0;0;0;0;0;906,880918; ; ;0;,0589677354718604;-,223503590663817;-,586798816472027;-,731747810202946;0
118; ; ; ; ; ; ;0;0;0;0;0;0;914,1282617; ; ;0;-,0699806430557478;-,215635174304127;,428850596944815;,402122777913647;0
119; ; ; ; ; ; ;1;0;0;0;0;0;1299,449857; ; ;0;1,31722431954531;,966993852962274;-,214046611482135;-,302407593264403;0
120; ; ; ; ; ; ;0;0;0;0;1;2;961,7738692;4;405,160171; ;,210600706111989;,116320567588582;-,215565717176139;-,0365584010778385;0
121; ; ; ; ; ; ;1;0;0;0;0;0;936,3340765; ; ;0;-,385425978537798;-,461864280347203;,101254918813736;,303220831645392;0
122; ; ; ; ; ; ;0;0;0;0;0;0;1595,745167; ; ;0;,204901663006369;,532047206309841;,609620688345029;,370052726637813;0
123;0;1187,457447;-,221646879547828;,169793347956707;-,192345664830675;-,365988850495262;1;0;0;1;1;1;755,0754326;4;279,1036676;4;1,08059680764667;1,08333244232647;-,413724905998488;-,54779915223568;0
124; ; ; ; ; ; ;0;0;0;0;0;0;1295,656195; ; ;0;,976322679988056;1,43324024778484;,361023907063377;-,148472904117771;0
125; ; ; ; ; ; ;1;0;0;0;1;2;1460,28758;4;351,6357989; ;1,21342137842808;,799662174927773;,422986831535026;,322762382018574;0
126;0;862,0057172;-1,25734839295185;-1,176324482372;,790785099252907;,729952327689215;0;0;0;1;0;3;1553,70634; ; ; ;-1,24193451679709;-1,19733417303904;,45144457056006;,479292586786944;0
127; ; ; ; ; ; ;1;0;0;0;1;2;880,5953452;4;160,6883714; ;,320696815339963;,54302313609185;-,439264437299537;-,958094289392343;0
128;0;1013,007802;1,14893712090783;1,34949642198279;-1,09692879921456;-1,05293172013982;0;0;0;1;1;1;1118,282944;4;173,1345199;4;,952610869816537;,766668217435607;-,482181210222377;-,513144724171313;0
129; ; ; ; ; ; ;1;0;0;0;1;2;1456,640174;4;295,8778235; ;-,819685885217788;-,736648954116939;,939227404347793;,806740001484182;0
130; ; ; ; ; ; ;0;0;0;0;0;0;1196,670426; ; ;0;1,40159284848011;1,00856645076279;-,0373541686851715;,0369031487390259;0
131;2;2737,743846;-1,62378039276447;-1,6481011633606;2,83000812162137;3,06352676625777;1;1;0;1;1;1;893,5864236;4;835,8212842;4;-,478914657488003;-,623843539466908;1,03160864826454;1,20528600203197;0
132;0;807,9418764;-1,15836639291743;-1,06353394418911;-,171111095007772;-,0831382309858955;0;0;0;1;0;3;886,8063918; ; ; ;-,0224145357160328;,0802311995834093;-,233642174336658;-,32349974563979;0
133; ; ; ; ; ; ;1;0;0;0;0;0;1096,039282; ; ;0;-,229310107485427;-,351593682000335;-,949040728355783;-,914556524820435;0
134; ; ; ; ; ; ;1;0;0;0;0;0;983,0319101; ; ;0;-,099812811042026;,0186828410538843;-,589629152826339;-,173530394190863;0
135;0;1169,742039;,337641826126557;,465010639703669;-,818757324796247;-,819090960987413;0;0;1;1;1;1;811,4437681;4;116,3309461;4;1,25696487657159;2,2428812020869;-,0406011568796267;-,378830276837921;0
136; ; ; ; ; ; ;1;0;0;0;0;0;1039,318779; ; ;0;-,962838864037682;-1,08427351713551;-,162804320655724;,0449000218240014;0
137; ; ; ; ; ; ;0;0;0;0;0;0;1174,250359; ; ;0;,458251829706746;,216574283234215;-,603330155625143;-,680719073580731;0
138;2;2476,193502;-1,07381541603744;-1,03370512906245;,165859128355369;,314061326676181;1;1;0;1;1;1;1100,519639;4;191,7968468;4;-,306079997725145;-,435674638660636;,0308466482087804;,0660775662671023;0
139;0;865,2274876;,917910220309089;,664640424828848;-,716645717797025;-,577785908563463;0;0;0;1;1;1;2759,546809;4;119,0604068;4;,456432204646067;,728111616679924;,697877398343015;,781968307349974;0
140;3;1564,892096;-,120061894098938;-,158618472883038;,121082447226611;,362965140354137;1;1;1;1;1;1;759,0227268;4;272,9198835;4;,0585152463638943;,1254110830016;,640732867746068;,515668672683714;0
141; ; ; ; ; ; ;0;0;0;0;0;0;1020,865251; ; ;0;,22032426082194;-,464400966549659;-,308837470416594;,0900478053043285;0
142;0;842,7764468;-,629433039762679;-,849637372130265;,172070562025966;,418560065829132;0;0;0;1;1;1;975,9093326;4;100,7659638;4;-1,09107387051351;-,671279768032009;,357054042022685;,556075014856706;0
143; ; ; ; ; ; ;1;0;0;0;0;0;1481,680009; ; ;0;-1,6285126025686;-1,82595601497737;1,58076162665645;2,00201145043113;0
144; ; ; ; ; ; ;0;0;0;0;0;0;1305,299114; ; ;0;-,847535284727956;-,599935942055998;,151718829152219;,218858622952967;0
145; ; ; ; ; ; ;1;0;0;0;0;0;1079,691704; ; ;0;,260332897225752;,267954441058178;-,703922028615422;-,653401714808998;0
146; ; ; ; ; ; ;0;0;0;0;0;0;1146,432953; ; ;0;-,748156604581081;-,56967941324552;-,416360172349667;-,390768437756545;0
147;1;1470,635828;-,615696907766382;-,587083324812871;1,01253535869578;,948189375864767;1;0;0;1;1;1;2175,176323;4;167,8292308;4;-1,53226418449837;-2,05385980764101;2,3106945467851;2,55719022636435;0
148;0;792,1284203;-,306287530971894;-,459211750429838;-,227112554814852;,0512076074757623;0;0;0;1;1;1;695,5889048;4;191,0225908;4;-1,03720312527463;-1,04031998065515;,124741977853119;,172908034027661;0
149; ; ; ; ; ; ;1;0;0;0;0;0;1763,534516; ; ;0;2,5949702942216;2,75858768493858;-,59498161090749;-1,04809756438065;0
150;0;875,1853079;-,526883793289675;-,396317964502549;,0829475683332518;,0689385412446699;0;0;0;1;1;1;918,9485984;4;164,8755758;4;-,988666944924333;-,985308243402739;-,108114974676152;-,0570318471371475;0
151;0;1421,177724;-,227025534465013;-,298799297920859;,526873175718939;,585394981176509;1;1;0;1;1;1;793,9274298;4;116,5217838;4;,666109007872612;,295181109714199;,21883605047073;,590258955482291;0
152; ; ; ; ; ; ;0;0;0;0;0;0;2007,507571; ; ;0;-,387095191370197;-,690215926522543;1,02252866467981;1,58795338441958;0
153; ; ; ; ; ; ;1;0;0;0;0;0;918,279223; ; ;0;-,0952990712891575;,0235782374030111;,171482019466188;,0322267793655572;0
154;0;691,7297803;-,772120819903388;-,636724445438232;-,395809934425222;-,590545965359011;0;0;0;1;1;1;631,8555157;4;202,7172555;4;-,0572389225291946;-,403308240147867;-,220338015748604;,399399892893127;0
155; ; ; ; ; ; ;1;0;0;0;0;0;903,7787624; ; ;0;-,694409198359871;-,457201542621649;,693095967478096;,5264866633936;0
156;0;841,2782995;,300571616047974;,198509027756833;-,500992634883654;-,39051541051682;0;1;1;1;1;1;637,0633011;4;705,9582897;4;-1,66949173861288;-1,5946167166327;1,37376819484831;1,78247402147436;0
157;2;1817,654656;-,51856379601518;-,365542403522666;,481350793627636;,321117675325296;1;0;0;1;1;1;1188,351504;4;163,4617729;4;,560203315366357;-,0907801286098735;-,0257873202950133;-,0032012675896506;0
158; ; ; ; ; ; ;0;0;0;0;0;0;1157,240142; ; ;0;,704783015942468;,627995758682169;-,297325211602993;-,524235304644804;0
159;1;2208,783674;-,586286080946491;-,00400916929298626;,717499530251411;,800918975532497;1;1;0;1;1;1;869,2329626;4;224,9522573;4;-,645208360146153;-,739681930770218;,871516950321851;,634291344034331;0
