Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left;filter_$
272;3;1851,111505;-1,21380526755592;-,714538056521218;,457239099582107;-,076128956684497;1;0;0;1;1;1;1770,826577;4;425,8388098;4;1,88791539813217;2,8482595147972;-,672873851545828;-1,14365212402498;0
273; ; ; ; ; ; ;1;0;0;0;0;0;2304,447911; ; ;0;,127613263662856;-,0202494399424517;-,366236336844937;,0556300804875779;0
274; ; ; ; ; ; ;1;0;0;0;0;0;1590,986676; ; ;0;-,574305706752904;-,813094533004799;,62422300845503;,973747669665612;0
275;2;1325,362117;-,557253371569698;-1,31240364540258;,322736264487329;,607892140530188;1;0;0;1;1;1;1422,89572;4;351,0081272;4;-,447702174300587;-,354806171474466;,673057985329502;,876135925379123;0
276; ; ; ; ; ; ;1;0;0;0;1;2;1663,424335;4;353,4928826; ;-,929822518662336;-,358528441727215;,857334702525193;,12002353266742;0
277; ; ; ; ; ; ;1;0;0;0;0;0;1501,230783; ; ;0;-1,03749476942071;-1,06775796673242;,584004118211634;,406791699916125;0
278;0;2510,708964;,341825331061196;1,08986790372345;-1,10462025660183;-1,02787739440202;1;0;0;1;1;1;1127,054278;4;384,0338517;4;-1,60226135187233;-,73276444134405;,785142701277671;-,401658321021941;0
279;3;987,520963;-,818082441947346;-1,09782572221436;1,38129900405637;1,42345910294516;1;1;0;1;0;3;1583,338685; ; ; ;-,970416859504012;-1,30483012593323;,334860077351999;,730555965075984;0
280;3;1788,041259;-,910323251645704;-,156875691841126;,10368738504644;-,422852123393979;1;0;0;1;1;1;1258,520511;4;373,3468699;4;,0205347543202784;,208028905583533;-,409711869234017;-,411891046066101;0
281;0;2660,561057;-,356998288867502;-,309912328889184;-,755838241199461;-,609664447178702;1;1;1;1;1;1;2534,348239;4;561,215157;4;-,592126977747819;-,471270929413263;-,18369030154384;,0553774888144994;0
282; ; ; ; ; ; ;1;0;0;0;1;2;2102,525538;2;1296,645966; ;,171986694750275;,477913008874803;-,519980943465788;-,534905571576805;0
283;3;1462,984272;1,76080677579345;,994535712686374;-1,80246791260399;-1,24742622617394;1;0;0;1;1;1;1254,230323;4;430,1161684;4;-,687510671332989;-,520316302301565;,230261772732899;,113809053602176;0
284;3;1307,149193;,600044308867395;,563618698122002;,075623458335742;-,354284405749138;1;0;0;1;1;1;1314,026423;4;571,8832153;4;1,36934186439304;,201014625519817;,160639688808226;,435555569587952;0
285; ; ; ; ; ; ;1;0;0;0;0;0;1127,244796; ; ;0;-1,13924770354036;-,30675817483868;,103247453441002;,082982481934977;0
286; ; ; ; ; ; ;1;0;0;0;0;0;2890,673444; ; ;0;,496669026201442;,604227059431605;,327125179800901;,250737437322822;0
287; ; ; ; ; ; ;1;0;0;0;0;0;2308,73842; ; ;0;-,923386648264566;-1,91769786431901;,937418850123245;1,24915704169097;0
288; ; ; ; ; ; ;1;0;0;0;0;0;2958,328261; ; ;0;-,218625498266568;-,472205348549678;,0394797183521614;,4902811909097;0
289; ; ; ; ; ; ;1;0;0;0;1;2;1316,035204;4;269,9872062; ;,782204699754179;1,80859786899052;-,863232520508475;-1,79665778714243;0
290; ; ; ; ; ; ;1;0;0;0;1;2;3771,993742;4;512,3190081; ;-,0240953883964869;-,315802583677172;-,449606140252137;,469710399506176;0
291; ; ; ; ; ; ;1;0;0;0;1;2;1347,97491;4;353,5650486; ;-,319354369386026;-,0997404526137239;,709502584974016;,265510738765805;0
292; ; ; ; ; ; ;1;0;0;0;1;2;2288,703216;4;288,3401408; ;,182107492854685;,306789988080397;-,848275297868753;-,34624886274137;0
293; ; ; ; ; ; ;1;0;0;0;0;0;1148,150803; ; ;0;-,678661164690735;-,436668713159018;-,302360832269508;-,318222568898106;0
294; ; ; ; ; ; ;1;0;0;0;1;2;2434,112561;2;311,5756663; ;,59611727599275;1,0104189489833;-,747266966415759;-,272201704273285;0
295; ; ; ; ; ; ;1;0;0;0;1;2;3166,072987;4;899,2650459; ;,221264114623381;,589577977104928;,5990594222159;,25847336894316;0
296; ; ; ; ; ; ;1;0;0;0;0;0;2158,446164; ; ;0;,19210746084609;-,320898592881714;-1,10754815327693;-,544460053161543;0
297; ; ; ; ; ; ;1;0;0;0;0;0;1438,218325; ; ;0;-,854564030644588;-,869675972634121;,455037089861544;,506014301873533;0
298; ; ; ; ; ; ;1;0;0;0;0;0;4277,890826; ; ;0;2,79827008728211;2,51190869068537;-1,0307325081224;-,898715407710888;0
299; ; ; ; ; ; ;1;0;0;0;1;2;1564,398479;1;1135,272541; ;,426882173830109;1,51658653508914;1,00412370432012;-,1028283941666;0
300; ; ; ; ; ; ;1;0;0;0;0;0;5499,582191; ; ;0;,635853738483456;,925613304047631;-,474341777464463;-,502322338197658;0
